"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo"	"Replicate"
"A.Otrad.39"	NA	NA	NA	"S7"
"E.Otrad.41"	NA	NA	NA	"S203"
"A.Otrad.40"	NA	NA	NA	"S8"
"C.Otrad.14"	NA	NA	NA	"S76"
"F.Otrad.35"	NA	NA	NA	"S245"
"F.Otrad.41"	NA	NA	NA	"S251"
"F.Otrad.42"	NA	NA	NA	"S252"
"F.Otrad.39"	NA	NA	NA	"S249"
"E.Otrad.29"	NA	NA	NA	"S191"
"F.Otrad.43"	NA	NA	NA	"S253"
"F.Otrad.2"	NA	NA	NA	"S212"
"F.Otrad.7"	NA	NA	NA	"S217"
"C.Otrad.45"	NA	NA	NA	"S107"
"C.Otrad.1"	NA	NA	NA	"S63"
"C.Otrad.44"	NA	NA	NA	"S106"
"C.Otrad.13"	NA	NA	NA	"S75"
"C.Otrad.5"	NA	NA	NA	"S67"
"C.Otrad.9"	NA	NA	NA	"S71"
"C.Otrad.33"	NA	NA	NA	"S95"
"C.Otrad.24"	NA	NA	NA	"S86"
"C.Otrad.6"	NA	NA	NA	"S68"
"C.Otrad.41"	NA	NA	NA	"S103"
"C.Otrad.10"	NA	NA	NA	"S72"
"C.Otrad.11"	NA	NA	NA	"S73"
"A.Otrad.37"	NA	NA	NA	"S5"
"B.Otrad.38"	NA	NA	NA	"S50"
"F.Otrad.20"	NA	NA	NA	"S230"
"E.Otrad.39"	NA	NA	NA	"S201"
"B.Otrad.37"	NA	NA	NA	"S49"
"B.Otrad.11"	NA	NA	NA	"S23"
"B.Otrad.14"	NA	NA	NA	"S26"
"B.Otrad.34"	NA	NA	NA	"S46"
"B.Otrad.9"	NA	NA	NA	"S21"
"B.Otrad.35"	NA	NA	NA	"S47"
"B.Otrad.42"	NA	NA	NA	"S54"
"B.Otrad.12"	NA	NA	NA	"S24"
"B.Otrad.33"	NA	NA	NA	"S45"
"B.Otrad.39"	NA	NA	NA	"S51"
"B.Otrad.40"	NA	NA	NA	"S52"
"B.Otrad.16"	NA	NA	NA	"S28"
"B.Otrad.4"	NA	NA	NA	"S16"
"B.Otrad.15"	NA	NA	NA	"S27"
"B.Otrad.36"	NA	NA	NA	"S48"
"B.Otrad.3"	NA	NA	NA	"S15"
"B.Otrad.10"	NA	NA	NA	"S22"
"B.Otrad.13"	NA	NA	NA	"S25"
"B.Otrad.29"	NA	NA	NA	"S41"
"E.Otrad.5"	NA	NA	NA	"S167"
"E.Otrad.6"	NA	NA	NA	"S168"
"F.Otrad.46"	NA	NA	NA	"S256"
"F.Otrad.11"	NA	NA	NA	"S221"
"F.Otrad.1"	NA	NA	NA	"S211"
"E.Otrad.47"	NA	NA	NA	"S209"
"E.Otrad.22"	NA	NA	NA	"S184"
"E.Otrad.46"	NA	NA	NA	"S208"
"F.Otrad.19"	NA	NA	NA	"S229"
"E.Otrad.24"	NA	NA	NA	"S186"
"E.Otrad.15"	NA	NA	NA	"S177"
"A.Otrad.36"	NA	NA	NA	"S4"
"E.Otrad.48"	NA	NA	NA	"S210"
"B.Otrad.6"	NA	NA	NA	"S18"
"B.Otrad.30"	NA	NA	NA	"S42"
"E.Otrad.36"	NA	NA	NA	"S198"
"E.Otrad.45"	NA	NA	NA	"S207"
"E.Otrad.35"	NA	NA	NA	"S197"
"E.Otrad.43"	NA	NA	NA	"S205"
"E.Otrad.16"	NA	NA	NA	"S178"
"E.Otrad.10"	NA	NA	NA	"S172"
"F.Otrad.13"	NA	NA	NA	"S223"
"E.Otrad.8"	NA	NA	NA	"S170"
"C.Otrad.18"	NA	NA	NA	"S80"
"F.Otrad.26"	NA	NA	NA	"S236"
"E.Otrad.37"	NA	NA	NA	"S199"
"F.Otrad.9"	NA	NA	NA	"S219"
"E.Otrad.9"	NA	NA	NA	"S171"
"E.Otrad.14"	NA	NA	NA	"S176"
"C.Otrad.22"	NA	NA	NA	"S84"
"E.Otrad.34"	NA	NA	NA	"S196"
"F.Otrad.4"	NA	NA	NA	"S214"
"C.Otrad.16"	NA	NA	NA	"S78"
"C.Otrad.19"	NA	NA	NA	"S81"
"E.Otrad.13"	NA	NA	NA	"S175"
"F.Otrad.16"	NA	NA	NA	"S226"
"F.Otrad.18"	NA	NA	NA	"S228"
"F.Otrad.17"	NA	NA	NA	"S227"
"F.Otrad.30"	NA	NA	NA	"S240"
"F.Otrad.10"	NA	NA	NA	"S220"
"E.Otrad.33"	NA	NA	NA	"S195"
