"x"	"y"	"GroupsVector"	"LostEdges"	"Degree"	"BetweennessCentrality"	"ClosenessCentrality"	"EigenvectorCentrality"	"NeighborhoodConnectivity"
"BacV5Epi_Species_11643"	-22.1868011551405	-4.03830801220218	"BacV5Epi"	3021	98	0.01070572	0.48713826	0.152632609009743	51.87755102
"BacV5Epi_Species_12787"	-9.65514067594473	2.57120871990736	"BacV5Epi"	2881	87	0.02249109	0.47566719	0.136734575033188	53.45977011
"BacV5Epi_Species_1012"	-6.36554274572449	0.142451733928298	"BacV5Epi"	2934	5	2.1e-05	0.36244019	0.0105594759806991	84.8
"BacV5Epi_Species_8208"	-4.89600298766862	3.53876696945701	"BacV5Epi"	2787	79	0.02897181	0.47269891	0.122198909521103	53.60759494
"BacV5Epi_Species_1864"	8.4077964074342	-1.14752476653863	"BacV5Epi"	1264	3	0	0.32721382	0.00331678800284863	43.66666667
"BacV5Epi_Species_3002"	5.12555574916335	0.944539324286362	"BacV5Epi"	1944	19	0.0167244	0.39299611	0.023813771083951	49.78947368
"BacV5Epi_Species_3773"	2.96666242555264	0.206585789738881	"BacV5Epi"	2287	33	0.01452164	0.41112619	0.0447288155555725	51.03030303
"BacV5Epi_Species_3008"	-18.2724787652047	1.6630791581808	"BacV5Epi"	3030	116	0.04749822	0.52151463	0.161376640200615	46.98275862
"BacV5Epi_Species_1028"	3.19790060164339	-0.296854847948424	"BacV5Epi"	2274	9	0.00200415	0.38065327	0.0108195273205638	48.22222222
"BacV5Epi_Species_11569"	-0.880571554958244	4.9635221776535	"BacV5Epi"	2640	17	0.00080415	0.39504563	0.023726699873805	54.82352941
"BacV5Epi_Species_1385"	-5.11509582085052	-2.22045505458684	"BacV5Epi"	2891	30	0.00356746	0.41450068	0.0602954961359501	73.36666667
"BacV5Epi_Species_5891"	4.67200423436585	-0.432409249067138	"BacV5Epi"	2152	5	5.116e-05	0.34827586	0.00669582467526197	49.6
"BacV5Epi_Species_5446"	-11.5982561284899	2.70381476875879	"BacV5Epi"	2996	89	0.02911109	0.49835526	0.141749709844589	54.85393258
"BacV5Epi_Species_12090"	4.20472401925257	2.38507199521674	"BacV5Epi"	2277	23	0.00277719	0.3976378	0.0366763584315777	59.26086957
"BacV5Epi_Species_8532"	3.18418205488499	1.17025608703639	"BacV5Epi"	2383	9	8.74e-06	0.37086903	0.0184669196605682	78.66666667
"BacV5Epi_Species_10009"	-0.3819775236002	2.39033361531075	"BacV5Epi"	2754	28	0.00169002	0.41393443	0.0483621321618557	64.75
"BacV5Epi_Species_5898"	-7.91548721087527	-5.2320040155362	"BacV5Epi"	2895	83	0.0523933	0.4741784	0.128262102603912	51.74698795
"BacV5Epi_Species_8800"	7.2057163969829	-3.44205071463707	"BacV5Epi"	1633	5	0.00162348	0.33930571	0.00435851700603962	32.2
"BacV5Epi_Species_4835"	8.85710292977716	-3.91169654799804	"BacV5Epi"	1327	3	0.00016625	0.28611898	0.000434157875133678	9
"BacV5Epi_Species_8935"	-9.14842176573056	0.946454584234756	"BacV5Epi"	2998	20	0.00039794	0.40616622	0.0470320843160152	89.9
"BacV5Epi_Species_9333"	-22.4288844204819	-4.86592393239124	"BacV5Epi"	3016	82	0.00605954	0.46330275	0.137184977531433	56.40243902
"BacV5Epi_Species_10932"	-17.3103992608107	-5.38280793569968	"BacV5Epi"	3076	6	0	0.34198646	0.0123494444414973	73.83333333
"BacV5Epi_Species_5432"	6.42095432495604	0.919944634078327	"BacV5Epi"	1599	6	0.00030405	0.33554817	0.00434123538434505	30.66666667
"BacV5Epi_Species_5930"	-14.4395148985725	5.55259598519923	"BacV5Epi"	3007	86	0.00960607	0.48402556	0.14217908680439	56.34883721
"BacV5Epi_Species_15894"	-8.87533339015021	4.74175716845587	"BacV5Epi"	2892	83	0.01649843	0.4741784	0.126080051064491	52.12048193
"BacV5Epi_Species_12388"	-9.51414636976804	0.911741513193179	"BacV5Epi"	2960	25	6.134e-05	0.40725806	0.0556107424199581	82.36
"BacV5Epi_Species_1577"	6.23332657255914	0.136156428744783	"BacV5Epi"	1950	2	0	0.32337247	0.00290269241668284	56
"BacV5Epi_Species_6432"	-9.47756464395567	-1.30870705838201	"BacV5Epi"	2981	29	6.167e-05	0.41112619	0.0651355385780334	82.31034483
"BacV5Epi_Species_2532"	-6.39949788136251	4.01616876393609	"BacV5Epi"	2811	55	0.00505689	0.43976778	0.099473275244236	62.74545455
"BacV5Epi_Species_1387"	-10.2630387845027	2.73083767762471	"BacV5Epi"	3002	17	0.00049178	0.40508021	0.0385053642094135	88.64705882
